Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar,Agliè,Jan,Weekday,1,0
Solar,Agliè,Jan,Weekday,2,0
Solar,Agliè,Jan,Weekday,3,0
Solar,Agliè,Jan,Weekday,4,0
Solar,Agliè,Jan,Weekday,5,0
Solar,Agliè,Jan,Weekday,6,0
Solar,Agliè,Jan,Weekday,7,0
Solar,Agliè,Jan,Weekday,8,0.0
Solar,Agliè,Jan,Weekday,9,80.40829295883239
Solar,Agliè,Jan,Weekday,10,133.45752664419143
Solar,Agliè,Jan,Weekday,11,164.81125712891165
Solar,Agliè,Jan,Weekday,12,236.533359465066
Solar,Agliè,Jan,Weekday,13,336.7818527730914
Solar,Agliè,Jan,Weekday,14,317.7050784776033
Solar,Agliè,Jan,Weekday,15,233.69270438151264
Solar,Agliè,Jan,Weekday,16,129.56050295144163
Solar,Agliè,Jan,Weekday,17,0
Solar,Agliè,Jan,Weekday,18,0
Solar,Agliè,Jan,Weekday,19,0
Solar,Agliè,Jan,Weekday,20,0
Solar,Agliè,Jan,Weekday,21,0
Solar,Agliè,Jan,Weekday,22,0
Solar,Agliè,Jan,Weekday,23,0
Solar,Agliè,Jan,Weekday,24,0
Solar,Agliè,Feb,Weekday,1,0
Solar,Agliè,Feb,Weekday,2,0
Solar,Agliè,Feb,Weekday,3,0
Solar,Agliè,Feb,Weekday,4,0
Solar,Agliè,Feb,Weekday,5,0
Solar,Agliè,Feb,Weekday,6,0
Solar,Agliè,Feb,Weekday,7,0.0
Solar,Agliè,Feb,Weekday,8,54.99330700816588
Solar,Agliè,Feb,Weekday,9,168.37095303048946
Solar,Agliè,Feb,Weekday,10,279.6891241172369
Solar,Agliè,Feb,Weekday,11,348.1355960601688
Solar,Agliè,Feb,Weekday,12,388.75252523141376
Solar,Agliè,Feb,Weekday,13,386.73743553151814
Solar,Agliè,Feb,Weekday,14,330.8253541447654
Solar,Agliè,Feb,Weekday,15,145.41934766009192
Solar,Agliè,Feb,Weekday,16,92.62310981811184
Solar,Agliè,Feb,Weekday,17,12.56989874472363
Solar,Agliè,Feb,Weekday,18,0
Solar,Agliè,Feb,Weekday,19,0
Solar,Agliè,Feb,Weekday,20,0
Solar,Agliè,Feb,Weekday,21,0
Solar,Agliè,Feb,Weekday,22,0
Solar,Agliè,Feb,Weekday,23,0
Solar,Agliè,Feb,Weekday,24,0
Solar,Agliè,Mar,Weekday,1,0
Solar,Agliè,Mar,Weekday,2,0
Solar,Agliè,Mar,Weekday,3,0
Solar,Agliè,Mar,Weekday,4,0
Solar,Agliè,Mar,Weekday,5,0
Solar,Agliè,Mar,Weekday,6,0
Solar,Agliè,Mar,Weekday,7,6.116285476775834
Solar,Agliè,Mar,Weekday,8,97.47885460156087
Solar,Agliè,Mar,Weekday,9,234.95768359840753
Solar,Agliè,Mar,Weekday,10,306.2226180070525
Solar,Agliè,Mar,Weekday,11,368.63269789743345
Solar,Agliè,Mar,Weekday,12,419.37389932740547
Solar,Agliè,Mar,Weekday,13,393.0534545688563
Solar,Agliè,Mar,Weekday,14,376.0672248739208
Solar,Agliè,Mar,Weekday,15,276.3513543940617
Solar,Agliè,Mar,Weekday,16,167.25244509134032
Solar,Agliè,Mar,Weekday,17,100.301755590842
Solar,Agliè,Mar,Weekday,18,0
Solar,Agliè,Mar,Weekday,19,0
Solar,Agliè,Mar,Weekday,20,0
Solar,Agliè,Mar,Weekday,21,0
Solar,Agliè,Mar,Weekday,22,0
Solar,Agliè,Mar,Weekday,23,0
Solar,Agliè,Mar,Weekday,24,0
Solar,Agliè,Apr,Weekday,1,0
Solar,Agliè,Apr,Weekday,2,0
Solar,Agliè,Apr,Weekday,3,0
Solar,Agliè,Apr,Weekday,4,0
Solar,Agliè,Apr,Weekday,5,0
Solar,Agliè,Apr,Weekday,6,2.81402394214505
Solar,Agliè,Apr,Weekday,7,70.38610674217067
Solar,Agliè,Apr,Weekday,8,180.2750732400053
Solar,Agliè,Apr,Weekday,9,162.17921265305677
Solar,Agliè,Apr,Weekday,10,194.19428314941675
Solar,Agliè,Apr,Weekday,11,359.59142538931127
Solar,Agliè,Apr,Weekday,12,361.8861420739943
Solar,Agliè,Apr,Weekday,13,422.56963629640296
Solar,Agliè,Apr,Weekday,14,387.32775916606903
Solar,Agliè,Apr,Weekday,15,185.29504339547225
Solar,Agliè,Apr,Weekday,16,149.01455175021414
Solar,Agliè,Apr,Weekday,17,122.62752913814421
Solar,Agliè,Apr,Weekday,18,3.359962341015462
Solar,Agliè,Apr,Weekday,19,0
Solar,Agliè,Apr,Weekday,20,0
Solar,Agliè,Apr,Weekday,21,0
Solar,Agliè,Apr,Weekday,22,0
Solar,Agliè,Apr,Weekday,23,0
Solar,Agliè,Apr,Weekday,24,0
Solar,Agliè,May,Weekday,1,0
Solar,Agliè,May,Weekday,2,0
Solar,Agliè,May,Weekday,3,0
Solar,Agliè,May,Weekday,4,0
Solar,Agliè,May,Weekday,5,0.0
Solar,Agliè,May,Weekday,6,12.17487014716699
Solar,Agliè,May,Weekday,7,36.52904896506902
Solar,Agliè,May,Weekday,8,62.1393299527298
Solar,Agliè,May,Weekday,9,62.1393299527298
Solar,Agliè,May,Weekday,10,273.7281869653429
Solar,Agliè,May,Weekday,11,363.54171136487764
Solar,Agliè,May,Weekday,12,426.7995492567567
Solar,Agliè,May,Weekday,13,398.4418221804716
Solar,Agliè,May,Weekday,14,352.4320868740432
Solar,Agliè,May,Weekday,15,322.6407166852773
Solar,Agliè,May,Weekday,16,247.51426677242696
Solar,Agliè,May,Weekday,17,144.42511838084823
Solar,Agliè,May,Weekday,18,29.782493141629782
Solar,Agliè,May,Weekday,19,2.81402394214505
Solar,Agliè,May,Weekday,20,0
Solar,Agliè,May,Weekday,21,0
Solar,Agliè,May,Weekday,22,0
Solar,Agliè,May,Weekday,23,0
Solar,Agliè,May,Weekday,24,0
Solar,Agliè,Jun,Weekday,1,0
Solar,Agliè,Jun,Weekday,2,0
Solar,Agliè,Jun,Weekday,3,0
Solar,Agliè,Jun,Weekday,4,0
Solar,Agliè,Jun,Weekday,5,2.81402394214505
Solar,Agliè,Jun,Weekday,6,34.775832155688434
Solar,Agliè,Jun,Weekday,7,116.44022728427956
Solar,Agliè,Jun,Weekday,8,210.47922612060003
Solar,Agliè,Jun,Weekday,9,299.8577752104658
Solar,Agliè,Jun,Weekday,10,375.17064311317426
Solar,Agliè,Jun,Weekday,11,428.01570471440294
Solar,Agliè,Jun,Weekday,12,449.8931873813319
Solar,Agliè,Jun,Weekday,13,441.60202535621045
Solar,Agliè,Jun,Weekday,14,400.94958799642103
Solar,Agliè,Jun,Weekday,15,333.2487880129219
Solar,Agliè,Jun,Weekday,16,234.5138312416023
Solar,Agliè,Jun,Weekday,17,111.10956047904894
Solar,Agliè,Jun,Weekday,18,24.771400033298935
Solar,Agliè,Jun,Weekday,19,23.297810208705627
Solar,Agliè,Jun,Weekday,20,0
Solar,Agliè,Jun,Weekday,21,0
Solar,Agliè,Jun,Weekday,22,0
Solar,Agliè,Jun,Weekday,23,0
Solar,Agliè,Jun,Weekday,24,0
Solar,Agliè,Jul,Weekday,1,0
Solar,Agliè,Jul,Weekday,2,0
Solar,Agliè,Jul,Weekday,3,0
Solar,Agliè,Jul,Weekday,4,0
Solar,Agliè,Jul,Weekday,5,0.803372765817435
Solar,Agliè,Jul,Weekday,6,33.883688918509954
Solar,Agliè,Jul,Weekday,7,81.73541150567996
Solar,Agliè,Jul,Weekday,8,163.47526153492797
Solar,Agliè,Jul,Weekday,9,285.67225388697113
Solar,Agliè,Jul,Weekday,10,370.9717998177969
Solar,Agliè,Jul,Weekday,11,423.7813532304812
Solar,Agliè,Jul,Weekday,12,445.4235941483033
Solar,Agliè,Jul,Weekday,13,428.53501197186506
Solar,Agliè,Jul,Weekday,14,391.326868900884
Solar,Agliè,Jul,Weekday,15,315.85421414972564
Solar,Agliè,Jul,Weekday,16,256.94612935453773
Solar,Agliè,Jul,Weekday,17,149.8445556574399
Solar,Agliè,Jul,Weekday,18,74.6382123203646
Solar,Agliè,Jul,Weekday,19,23.297810208705627
Solar,Agliè,Jul,Weekday,20,0
Solar,Agliè,Jul,Weekday,21,0
Solar,Agliè,Jul,Weekday,22,0
Solar,Agliè,Jul,Weekday,23,0
Solar,Agliè,Jul,Weekday,24,0
Solar,Agliè,Aug,Weekday,1,0
Solar,Agliè,Aug,Weekday,2,0
Solar,Agliè,Aug,Weekday,3,0
Solar,Agliè,Aug,Weekday,4,0
Solar,Agliè,Aug,Weekday,5,0
Solar,Agliè,Aug,Weekday,6,5.623609360722048
Solar,Agliè,Aug,Weekday,7,78.9125105163988
Solar,Agliè,Aug,Weekday,8,127.40781902093637
Solar,Agliè,Aug,Weekday,9,266.2137665646306
Solar,Agliè,Aug,Weekday,10,355.4192132353423
Solar,Agliè,Aug,Weekday,11,412.77381478171196
Solar,Agliè,Aug,Weekday,12,429.0543192293271
Solar,Agliè,Aug,Weekday,13,355.74766397937816
Solar,Agliè,Aug,Weekday,14,251.33139704095183
Solar,Agliè,Aug,Weekday,15,294.8289280078627
Solar,Agliè,Aug,Weekday,16,202.472129603834
Solar,Agliè,Aug,Weekday,17,98.17570280174505
Solar,Agliè,Aug,Weekday,18,36.75985219060773
Solar,Agliè,Aug,Weekday,19,0
Solar,Agliè,Aug,Weekday,20,0
Solar,Agliè,Aug,Weekday,21,0
Solar,Agliè,Aug,Weekday,22,0
Solar,Agliè,Aug,Weekday,23,0
