Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar_C1_Total,Agliè,Jan,Weekday,1,0
Solar_C1_Total,Agliè,Jan,Weekday,2,0
Solar_C1_Total,Agliè,Jan,Weekday,3,0
Solar_C1_Total,Agliè,Jan,Weekday,4,0
Solar_C1_Total,Agliè,Jan,Weekday,5,0
Solar_C1_Total,Agliè,Jan,Weekday,6,0
Solar_C1_Total,Agliè,Jan,Weekday,7,0
Solar_C1_Total,Agliè,Jan,Weekday,8,0.0
Solar_C1_Total,Agliè,Jan,Weekday,9,1471.4462508830002
Solar_C1_Total,Agliè,Jan,Weekday,10,2134.736965867
Solar_C1_Total,Agliè,Jan,Weekday,11,2673.719056316
Solar_C1_Total,Agliè,Jan,Weekday,12,3217.455136499
Solar_C1_Total,Agliè,Jan,Weekday,13,3474.6840754439995
Solar_C1_Total,Agliè,Jan,Weekday,14,3139.8136913420003
Solar_C1_Total,Agliè,Jan,Weekday,15,2556.279939521
Solar_C1_Total,Agliè,Jan,Weekday,16,1732.460585575
Solar_C1_Total,Agliè,Jan,Weekday,17,0
Solar_C1_Total,Agliè,Jan,Weekday,18,0
Solar_C1_Total,Agliè,Jan,Weekday,19,0
Solar_C1_Total,Agliè,Jan,Weekday,20,0
Solar_C1_Total,Agliè,Jan,Weekday,21,0
Solar_C1_Total,Agliè,Jan,Weekday,22,0
Solar_C1_Total,Agliè,Jan,Weekday,23,0
Solar_C1_Total,Agliè,Jan,Weekday,24,0
Solar_C1_Total,Agliè,Jan,Weekend,1,0
Solar_C1_Total,Agliè,Jan,Weekend,2,0
Solar_C1_Total,Agliè,Jan,Weekend,3,0
Solar_C1_Total,Agliè,Jan,Weekend,4,0
Solar_C1_Total,Agliè,Jan,Weekend,5,0
Solar_C1_Total,Agliè,Jan,Weekend,6,0
Solar_C1_Total,Agliè,Jan,Weekend,7,0
Solar_C1_Total,Agliè,Jan,Weekend,8,0.0
Solar_C1_Total,Agliè,Jan,Weekend,9,1471.4462508830002
Solar_C1_Total,Agliè,Jan,Weekend,10,2134.736965867
Solar_C1_Total,Agliè,Jan,Weekend,11,2673.719056316
Solar_C1_Total,Agliè,Jan,Weekend,12,3217.455136499
Solar_C1_Total,Agliè,Jan,Weekend,13,3474.6840754439995
Solar_C1_Total,Agliè,Jan,Weekend,14,3139.8136913420003
Solar_C1_Total,Agliè,Jan,Weekend,15,2556.279939521
Solar_C1_Total,Agliè,Jan,Weekend,16,1732.460585575
Solar_C1_Total,Agliè,Jan,Weekend,17,0
Solar_C1_Total,Agliè,Jan,Weekend,18,0
Solar_C1_Total,Agliè,Jan,Weekend,19,0
Solar_C1_Total,Agliè,Jan,Weekend,20,0
Solar_C1_Total,Agliè,Jan,Weekend,21,0
Solar_C1_Total,Agliè,Jan,Weekend,22,0
Solar_C1_Total,Agliè,Jan,Weekend,23,0
Solar_C1_Total,Agliè,Jan,Weekend,24,0
Solar_C1_Total,Agliè,Feb,Weekday,1,0
Solar_C1_Total,Agliè,Feb,Weekday,2,0
Solar_C1_Total,Agliè,Feb,Weekday,3,0
Solar_C1_Total,Agliè,Feb,Weekday,4,0
Solar_C1_Total,Agliè,Feb,Weekday,5,0
Solar_C1_Total,Agliè,Feb,Weekday,6,0
Solar_C1_Total,Agliè,Feb,Weekday,7,0
Solar_C1_Total,Agliè,Feb,Weekday,8,1084.847629357
Solar_C1_Total,Agliè,Feb,Weekday,9,3147.8457180389996
Solar_C1_Total,Agliè,Feb,Weekday,10,4318.3285377229995
Solar_C1_Total,Agliè,Feb,Weekday,11,5648.244423255
Solar_C1_Total,Agliè,Feb,Weekday,12,6404.193531094999
Solar_C1_Total,Agliè,Feb,Weekday,13,6475.087947454
Solar_C1_Total,Agliè,Feb,Weekday,14,5924.781824041
Solar_C1_Total,Agliè,Feb,Weekday,15,4381.897657248
Solar_C1_Total,Agliè,Feb,Weekday,16,3267.8643216
Solar_C1_Total,Agliè,Feb,Weekday,17,1694.404508614
Solar_C1_Total,Agliè,Feb,Weekday,18,0
Solar_C1_Total,Agliè,Feb,Weekday,19,0
