Energy_Source,COD_REG,COD_PROV,PRO_COM,Municipality,Annual_Production,Area_m2,COD_RIP,COD_UTS,PRO_COM_T,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Solar_C1_Total,1,1,1001,Agliè,,,,,,632418.466744857,1185729.8907559281,4037593.2691053282,6772779.190203421,8553392.980940565,8872327.761235353,8861369.524040375,7557098.696912063,4577389.603745669,2663114.4719230295,709559.34360576,272630.58472177497
Solar_C1_Total,1,1,1002,Airasca,,,,,,4876198.337517604,24433723.08414047,62638434.782392405,100399303.5312402,127953963.16016029,133183069.21808425,132794959.72761124,112384332.19111799,71025234.28635933,31731069.45586204,5852632.15889475,249688.614089936
Solar_C1_Total,1,1,1272,Torino,,,,,,24312280.80723782,121588013.89888954,312893635.8549367,502498077.1494866,640902078.9335201,667251493.8340532,665244995.9221205,562626240.6826804,354941018.6485923,158448199.50177187,29180466.653640956,1333216.3030841644
Solar_C1_Residential,1,1,1001,Agliè,,,,,,82745.590334857,156164.88799592794,536781.620330328,905927.5866934201,1149122.816232566,1194060.6251353496,1191625.972616374,1012355.796778064,609655.15194567,352355.91842303,93704.52057575996,35759.92649677499
Solar_C1_Residential,1,1,1002,Airasca,,,,,,39520.890270604,198348.805276468,509076.67630040494,816730.8403302,1041471.1909962571,1084260.28448424,1080985.658411271,914416.5136879911,577390.93650933,257668.42573003893,47446.51433475,2019.257392936
Solar_C1_Residential,1,1,1272,Torino,,,,,,6475532.897135815,32552419.342561543,83690697.38377771,134389351.72718668,171415012.09813607,178470234.24687305,177930338.16228864,150475302.24868336,94940944.26865229,42327142.80749684,7775882.816820959,334679.6084571642
Solar_C1_Agriculture,1,1,1001,Agliè,,,,,,322295.918926,603868.4002959998,2053888.822309,3443655.18639,4349423.239135999,4511691.481950001,4505847.0887279995,3842680.5391570004,2328443.0147700002,1354882.6403130002,361962.3410700001,139240.07383500005
Solar_C1_Agriculture,1,1,1002,Airasca,,,,,,60176.61214699999,301998.030264,775147.989195,1243708.4753700001,1586042.123464,1651262.9441999998,1646241.9701110001,1392495.4188599996,879191.54205,392323.338639,72244.98306,3075.436902
Solar_C1_Agriculture,1,1,1272,Torino,,,,,,547785.3808980001,2423434.5656079995,6386133.334503001,10322323.78542,13184055.495994002,13735108.794270001,13689058.309843998,11563246.924083,7251354.155580003,3325184.746945,649193.1601200001,68008.14444100001
Solar_C1_Industrial,1,1,1001,Agliè,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_C1_Industrial,1,1,1002,Airasca,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_C1_Industrial,1,1,1272,Torino,,,,,,409.89297400000004,2060.97948,5287.296729000001,8474.0217,10795.02119,11233.455210000002,11202.227084,9483.832913999999,5994.793860000001,2676.6719359999993,492.10889999999995,20.82301
Solar_C1_Services,1,1,1001,Agliè,,,,,,227376.95748399998,425696.602464,1446922.826466,2423196.4171199994,3054846.9255719995,3166575.654150001,3163896.4626959995,2702062.3609769996,1639291.4370300001,955875.9131870001,253892.48195999992,97630.58439
Solar_C1_Services,1,1,1002,Airasca,,,,,,4776500.8351,23933376.2486,61354210.116896994,98338864.21554,125326449.84569998,130447545.98939998,130067732.09908898,110077420.25857002,69568651.80780001,31081077.691492997,5732940.661499999,244593.91979500005
Solar_C1_Services,1,1,1272,Torino,,,,,,17288552.63623,86610099.01124,222811517.839927,357777927.61518,456292216.3182,475034917.3377,473614397.22290397,400578207.6769999,252742725.4305,112793195.27539402,20754898.567799997,930507.7271760001
Solar_C2_Total,1,1,1001,Agliè,,,,,,436369.4079740209,817972.63986312,2784272.8115517707,4669620.65141373,5897368.65739394,6117286.54819662,6109618.299286672,5210492.996790797,3156462.732588599,1836549.3743085926,489718.7858209801,188233.70577965002
Solar_C2_Total,1,1,1002,Airasca,,,,,,4876198.337517604,24433723.08414047,62638434.782392405,100399303.53122759,127953963.16016029,133183069.21808425,132794959.7276006,112384332.19111799,71025234.28635933,31731069.45586204,5852632.15889475,249688.61413643602
Solar_C2_Total,1,1,1272,Torino,,,,,,22820710.955935746,114302899.6323146,294038604.9383632,472134419.0458374,602126083.1771206,626855736.5171118,624984174.5686884,528611201.3309811,333534747.1423618,148859716.9547376,27395719.19670054,1229342.677129928
Solar_C2_Residential,1,1,1001,Agliè,,,,,,25265.652890721005,47883.38098432,165535.974445431,280466.75531733007,356867.19870794105,371290.40642862,370302.444359313,313764.52197109594,188245.71134460001,108303.258363073,28825.012657980005,10957.66195995
Solar_C2_Residential,1,1,1002,Airasca,,,,,,39520.890270604,198348.805276468,509076.67630040494,816730.8403302004,1041471.1909962571,1084260.28448424,1080985.658411271,914416.5136879911,577390.93650933,257668.42573003893,47446.51433475,2019.257392936
Solar_C2_Residential,1,1,1272,Torino,,,,,,5400800.9255917445,27128253.128026582,69713733.00514917,111892529.43934748,142678599.5467386,148530979.4592319,148092033.89559907,125270708.05443919,79071420.71026179,35273457.53576462,6484705.601010537,280207.21936892794
Solar_C2_Agriculture,1,1,1001,Agliè,,,,,,203634.85874099997,381063.52681600006,1293544.0929549998,2166556.0222199997,2735374.6940360004,2836980.92241,2833405.2302579996,2417346.595578,1466157.73317,853832.147128,228679.75293000002,88118.63497200001
Solar_C2_Agriculture,1,1,1002,Airasca,,,,,,60176.61214699999,301998.030264,775147.989195,1243708.4753700001,1586042.123464,1651262.9441999998,1646241.9701110001,1392495.4188599996,879191.54205,392323.338639,72244.98306,3075.436902
Solar_C2_Agriculture,1,1,1272,Torino,,,,,,223116.55606000003,1024145.882088,2685315.7394390004,4330179.442949999,5522228.447492001,5749065.19077,5731799.372481,4848062.598727999,3046795.7018399998,1388769.20584,266157.54459,23287.29858
Solar_C2_Industrial,1,1,1001,Agliè,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_C2_Industrial,1,1,1002,Airasca,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_C2_Industrial,1,1,1272,Torino,,,,,,409.89297400000004,2060.97948,5287.296729000001,8474.0217,10795.02119,11233.455210000002,11202.227084,9483.832913999999,5994.793860000001,2676.6719359999993,492.10889999999995,20.82301
Solar_C2_Services,1,1,1001,Agliè,,,,,,207468.8963423,389025.7320628,1325192.7441513399,2222597.8738764003,2805126.7646499993,2909015.2193580004,2905910.624669359,2479381.8792417,1502059.2880739998,874413.96881752,232214.020233,89157.40884770002
Solar_C2_Services,1,1,1002,Airasca,,,,,,4776500.8351,23933376.2486,61354210.116896994,98338864.21552742,125326449.84569998,130447545.98939998,130067732.09907834,110077420.25857002,69568651.80780001,31081077.691492997,5732940.661499999,244593.91984150003
Solar_C2_Services,1,1,1272,Torino,,,,,,17196383.581310004,86148439.64272,221634268.89704597,355903236.14184,453914460.1617,472564458.4118999,471149139.07352436,398482946.8449,251410535.93640003,112194813.541197,20644363.9422,925827.336171
Wind_VESTAS_V52,1,1,1001,Agliè,0.0,13153806.88,1,201,001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_VESTAS_V52,1,1,1002,Airasca,0.0,15746362.62,1,201,001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_VESTAS_V52,1,1,1272,Torino,0.0,130124136.4,1,201,001272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_VESTAS_V80,1,1,1001,Agliè,0.0,13153806.88,1,201,001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_VESTAS_V80,1,1,1002,Airasca,0.0,15746362.62,1,201,001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_VESTAS_V80,1,1,1272,Torino,0.0,130124136.4,1,201,001272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,1,1,1001,Agliè,360014.57999999996,,,,,27470.992048192784,28916.83373493977,33254.358795180735,27470.992048192784,31808.51710843375,28916.83373493977,30362.675421686756,31808.51710843375,31808.51710843375,30362.675421686756,30362.675421686756,27470.992048192784
Biomass,1,1,1002,Airasca,667189.89,,,,,50910.071927710866,53589.54939759039,61627.98180722894,50910.071927710866,58948.50433734942,53589.54939759039,56269.0268674699,58948.50433734942,58948.50433734942,56269.0268674699,56269.0268674699,50910.071927710866
Biomass,1,1,1272,Torino,23749502.62,,,,,1812211.0432931737,1907590.5718875509,2193729.1576706837,1812211.0432931737,2098349.6290763062,1907590.5718875509,2002970.100481928,2098349.6290763062,2098349.6290763062,2002970.100481928,2002970.100481928,1812211.0432931737
